sparsity,performance,config_list
0.95,0.1,"[{""sparsity"": 0.08769539144054274, ""op_names"": [""feature.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.40131818644248873, ""op_names"": [""feature.3""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.5899003416684048, ""op_names"": [""feature.7""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.595939382342892, ""op_names"": [""feature.10""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.7675718209901269, ""op_names"": [""feature.14""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.8375327586744944, ""op_names"": [""feature.17""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.899152873525976, ""op_names"": [""feature.20""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9018281811709263, ""op_names"": [""feature.24""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9424557482547228, ""op_names"": [""feature.27""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9742113012032882, ""op_names"": [""feature.30""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.975685857412315, ""op_names"": [""feature.34""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.992688951015099, ""op_names"": [""feature.37""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9952658070528572, ""op_names"": [""feature.40""], ""op_types"": [""Conv2d""]}]"
0.95,0.1,"[{""sparsity"": 0.23502255547471837, ""op_names"": [""feature.3""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.802400310944973, ""op_names"": [""feature.7""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.8274726029393206, ""op_names"": [""feature.10""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.8404849550258061, ""op_names"": [""feature.14""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.8419520984802474, ""op_names"": [""feature.17""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.8902593181463961, ""op_names"": [""feature.20""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9156658660662943, ""op_names"": [""feature.24""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9541358745473262, ""op_names"": [""feature.27""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9558813948015091, ""op_names"": [""feature.30""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9599633216718542, ""op_names"": [""feature.34""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9863209033301896, ""op_names"": [""feature.37""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9906425330342726, ""op_names"": [""feature.40""], ""op_types"": [""Conv2d""]}]"
0.95,0.1,"[{""sparsity"": 0.41520681789231983, ""op_names"": [""feature.3""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.6315550262992169, ""op_names"": [""feature.7""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.7941076025020712, ""op_names"": [""feature.10""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.8649692971769577, ""op_names"": [""feature.14""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.8694380054910532, ""op_names"": [""feature.17""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.8843745613427406, ""op_names"": [""feature.20""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9151907139966774, ""op_names"": [""feature.24""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9296664410900108, ""op_names"": [""feature.27""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9674978750597927, ""op_names"": [""feature.30""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9731670450928819, ""op_names"": [""feature.34""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9789857733365488, ""op_names"": [""feature.37""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9940125707843641, ""op_names"": [""feature.40""], ""op_types"": [""Conv2d""]}]"
0.95,0.1,"[{""sparsity"": 0.4694636429506734, ""op_names"": [""feature.3""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.496486787269125, ""op_names"": [""feature.7""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.609774374797037, ""op_names"": [""feature.10""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.7123526296364924, ""op_names"": [""feature.14""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.7768625715532325, ""op_names"": [""feature.17""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.8435324621305696, ""op_names"": [""feature.20""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9486428703896553, ""op_names"": [""feature.24""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.956546576669417, ""op_names"": [""feature.27""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9779567903787852, ""op_names"": [""feature.30""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9787867266170903, ""op_names"": [""feature.34""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9837124449668395, ""op_names"": [""feature.37""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9969264872439025, ""op_names"": [""feature.40""], ""op_types"": [""Conv2d""]}]"
0.95,0.1,"[{""sparsity"": 0.10690001003884914, ""op_names"": [""feature.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.4320232417365268, ""op_names"": [""feature.3""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.493096486294267, ""op_names"": [""feature.7""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.5042127146923043, ""op_names"": [""feature.10""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.7196536031508394, ""op_names"": [""feature.14""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.8317065024132683, ""op_names"": [""feature.17""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.855816309612462, ""op_names"": [""feature.20""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.8934985899554384, ""op_names"": [""feature.24""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9539685178807038, ""op_names"": [""feature.27""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9790059284564302, ""op_names"": [""feature.30""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9818200839600382, ""op_names"": [""feature.34""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9965278518646311, ""op_names"": [""feature.37""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9996940428370767, ""op_names"": [""feature.40""], ""op_types"": [""Conv2d""]}]"
0.95,0.1,"[{""sparsity"": 0.33858888579738244, ""op_names"": [""feature.3""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.4367877359652825, ""op_names"": [""feature.7""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.5408796600623691, ""op_names"": [""feature.10""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.6866604427674702, ""op_names"": [""feature.14""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.7517119719760859, ""op_names"": [""feature.17""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.7937091870293805, ""op_names"": [""feature.20""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.909162300983224, ""op_names"": [""feature.24""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9752459769928337, ""op_names"": [""feature.27""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9875284076204043, ""op_names"": [""feature.30""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9882238816906899, ""op_names"": [""feature.34""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9950993596934449, ""op_names"": [""feature.37""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9977432063621556, ""op_names"": [""feature.40""], ""op_types"": [""Conv2d""]}]"
0.95,0.1,"[{""sparsity"": 0.018141578869951522, ""op_names"": [""feature.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.35209008578832635, ""op_names"": [""feature.3""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.4691169506640717, ""op_names"": [""feature.7""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.6731380956872675, ""op_names"": [""feature.10""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.7650190848342786, ""op_names"": [""feature.14""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.8059444342005216, ""op_names"": [""feature.17""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.8733122745486326, ""op_names"": [""feature.20""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9340342549784673, ""op_names"": [""feature.24""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9354458682065602, ""op_names"": [""feature.27""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9626469767290468, ""op_names"": [""feature.30""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9929111526285715, ""op_names"": [""feature.34""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9934968576111013, ""op_names"": [""feature.37""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.994150222229445, ""op_names"": [""feature.40""], ""op_types"": [""Conv2d""]}]"
0.95,0.1,"[{""sparsity"": 0.11158639295802897, ""op_names"": [""feature.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.3193661105512573, ""op_names"": [""feature.3""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.49485940699623815, ""op_names"": [""feature.7""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.7504149679140296, ""op_names"": [""feature.10""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.7845461830375703, ""op_names"": [""feature.14""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.8226536193720869, ""op_names"": [""feature.17""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.8998454064140665, ""op_names"": [""feature.20""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9235721851418237, ""op_names"": [""feature.24""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9352903429647836, ""op_names"": [""feature.27""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.968395026530667, ""op_names"": [""feature.30""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9727231768734776, ""op_names"": [""feature.34""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9912587717882597, ""op_names"": [""feature.37""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9977707641912522, ""op_names"": [""feature.40""], ""op_types"": [""Conv2d""]}]"
0.95,0.1,"[{""sparsity"": 0.18547954296922417, ""op_names"": [""feature.3""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.36038027655357174, ""op_names"": [""feature.7""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.7797258584084116, ""op_names"": [""feature.10""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.7962679256971678, ""op_names"": [""feature.14""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.8224158353868862, ""op_names"": [""feature.17""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9046821801095282, ""op_names"": [""feature.20""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.934125636014447, ""op_names"": [""feature.24""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9424262324107824, ""op_names"": [""feature.27""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9666877526173033, ""op_names"": [""feature.30""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9826431513103915, ""op_names"": [""feature.34""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9842064388163217, ""op_names"": [""feature.37""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9861279929049237, ""op_names"": [""feature.40""], ""op_types"": [""Conv2d""]}]"
0.95,0.1,"[{""sparsity"": 0.04828876690355399, ""op_names"": [""feature.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.3081669607055242, ""op_names"": [""feature.3""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.4326790639500605, ""op_names"": [""feature.7""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.6743225829091948, ""op_names"": [""feature.10""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.8104826844264859, ""op_names"": [""feature.14""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9051407472182323, ""op_names"": [""feature.17""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9072124558915392, ""op_names"": [""feature.20""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9108942058818822, ""op_names"": [""feature.24""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9408474964683006, ""op_names"": [""feature.27""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9594543576968299, ""op_names"": [""feature.30""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9788899189995491, ""op_names"": [""feature.34""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9868899988934328, ""op_names"": [""feature.37""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.9869111343955482, ""op_names"": [""feature.40""], ""op_types"": [""Conv2d""]}]"
